id,class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,redSoil,0.117596,1.241362,1.184036,0.815302,-0.158561,1.256483,1.193546,0.818486,-0.141965,0.879481,0.67001,0.40102,0.05222,1.204523,1.181239,0.758245,-0.151111,1.214967,1.187378,0.598708,-0.136658,1.01113,0.899623,0.761977,-0.085593,1.211546,1.251179,0.807707,-0.069968,1.21916,1.250463,0.597678,-0.054291,1.233342,1.262255,0.603258
2,greySoil,1.146564,0.585831,0.342991,0.021553,0.947536,0.601074,0.353416,0.02655,1.788164,1.010702,0.910444,0.40102,1.375487,0.810648,0.941256,0.230039,1.104649,1.214967,0.409758,0.230975,1.126416,1.01113,0.7203,0.237614,1.387105,0.860711,0.528832,0.28115,1.412317,1.044084,0.532085,0.282612,1.438068,1.058033,0.842981,0.130923
3,dampGreySoil,-0.470385,-0.72523,-1.158877,-1.036778,-0.2323,-0.534967,-1.386853,-1.029365,-0.216201,-0.170284,-1.133242,-1.021446,-0.168324,-0.764851,-1.458571,-1.196119,-0.151111,-0.749664,-1.863286,-1.187424,0.160536,-0.430902,-1.431571,-1.178167,-0.159228,-0.367211,-1.277035,-0.929932,-0.144082,-0.181449,-1.0244,-1.082671,0.094945,-0.344432,-1.253394,-1.286082
4,cottonCrop,-1.719846,-2.03629,1.184036,2.349882,-1.707096,-2.239028,1.193546,2.560745,-1.700916,-2.138594,1.210986,2.561062,-1.859166,-2.165295,1.481217,2.818251,-1.997817,-2.27771,1.486463,2.647507,-1.845523,-2.135121,1.198494,2.649684,-1.85283,-2.296804,1.251179,2.966593,-1.84871,-2.151056,1.908976,2.750625,-1.845121,-2.272822,1.561738,2.755006
5,dampGreySoil,0.779075,0.323619,-0.498055,-0.825112,0.505098,0.164136,-0.486714,-0.659795,0.154978,0.004676,-0.712483,-0.810711,0.419794,0.15419,-0.858614,-0.826374,0.439835,0.167164,-0.60713,-0.819691,0.160536,0.180869,-0.594733,-0.811113,-0.232863,-0.191794,-1.156644,-1.035244,-0.218196,-0.181449,-1.383589,-1.240204,0.094945,-0.169124,-0.65443,-1.023674
6,greySoil,1.146564,0.585831,0.102692,-0.137197,1.168756,0.601074,0.653462,-0.131838,0.971571,0.835741,0.67001,0.032233,1.375487,0.985704,0.401295,0.230039,1.695595,0.996675,0.409758,0.230975,1.720804,1.01113,0.421429,0.027868,1.387105,1.036129,0.82981,0.28115,1.708774,1.044084,0.532085,0.12508,1.73654,1.058033,0.842981,0.288368
7,greySoil,0.999568,0.848043,0.342991,0.180303,1.021276,0.863238,0.653462,0.02655,1.045807,0.70452,0.129035,-0.178503,1.154943,0.810648,0.641278,0.230039,1.178517,0.996675,0.888293,0.230975,1.497908,0.617849,0.361655,0.027868,1.681645,0.992274,0.709419,0.228494,1.708774,1.000315,0.71168,0.230101,1.438068,0.838898,0.423706,0.025959
8,redSoil,-0.176394,1.19766,0.883663,0.603635,-0.158561,0.994319,1.193546,0.76569,-0.141965,1.010702,0.910444,0.611756,-0.388869,0.635593,0.401295,0.441321,-0.372716,0.996675,0.94811,0.598708,-0.359554,1.01113,0.959397,0.604668,-0.380132,0.509876,0.28805,0.28115,-0.366425,0.869008,0.831409,0.492656,-0.651234,0.882725,1.142463,0.498294
9,greySoil,1.367057,0.804341,0.403065,0.233219,1.684934,1.387565,0.713472,0.448916,1.713929,1.404364,0.970552,0.611756,1.375487,0.679357,0.281304,0.124397,1.400122,0.8657,0.828476,0.283508,1.42361,1.273318,1.13872,0.499795,1.387105,0.860711,0.589028,0.228494,1.11586,0.869008,0.831409,0.230101,1.438068,1.233342,0.842981,0.498294
10,redSoil,-0.249892,1.285064,1.063887,0.921135,0.062659,1.300177,1.373574,1.082464,0.080742,1.316883,1.391311,1.085912,-0.168324,1.248287,1.481217,0.969528,-0.151111,1.258626,1.845364,0.808841,-0.433852,1.273318,1.497365,0.814413,-0.453767,1.211546,1.491962,1.123642,-0.440539,1.21916,1.190598,0.755211,-0.128909,1.233342,1.501841,0.760703
11,redSoil,-0.249892,1.285064,1.063887,0.709468,0.062659,1.125401,1.373574,0.924077,-0.216201,1.141922,1.391311,0.717124,-0.462384,1.248287,0.881261,0.599783,-0.151111,1.083992,1.187378,0.966441,-0.136658,1.098526,1.198494,0.814413,-0.453767,0.992274,0.890006,0.755051,-0.144082,1.21916,1.489922,0.597678,-0.128909,1.233342,1.202359,0.760703
12,redSoil,-0.470385,0.848043,0.643364,0.391969,-0.748479,0.688462,0.653462,0.39612,-0.735851,0.529559,0.67001,0.40102,-0.903473,0.37301,0.881261,0.230039,-0.889794,0.385456,0.349941,0.020842,-0.879643,0.224567,0.361655,0.027868,-1.190116,0.24675,0.408441,0.228494,-1.181682,0.256241,0.412356,0.020058,-1.17356,-0.08147,0.18412,0.025959
13,redSoil,-0.396887,-0.113401,-1.038727,-0.772195,-0.674739,-0.272803,-1.026798,-0.923774,-0.661615,0.267118,0.189143,-0.178503,-0.388869,-0.195921,-0.738623,-0.826374,-0.668189,-0.00747,-0.487496,-0.451958,-0.656748,0.705245,0.540978,0.29005,-0.453767,0.159041,-0.614884,-0.613998,-0.144082,0.343779,0.053167,-0.189986,0.169563,0.882725,0.603395,0.235886
14,greySoil,1.073066,0.498427,0.583289,0.021553,0.726317,0.164136,-0.186668,-0.606999,-0.141965,-0.345245,-1.073134,-1.07413,0.934398,0.548065,0.041321,-0.086885,1.252385,0.56009,0.050856,-0.084225,0.977819,0.355661,-0.41541,-0.077004,1.018931,0.509876,0.107463,0.017871,1.338203,0.518855,0.113031,0.020058,1.064978,0.707417,0.124223,0.025959
15,redSoil,-0.102897,0.629533,0.703439,0.444886,-0.084821,0.819544,0.713472,0.448916,-0.364672,0.66078,0.429577,0.242968,-0.388869,0.504301,0.521286,0.282859,-0.372716,0.691066,0.828476,0.283508,-0.359554,0.530453,0.540978,0.132741,-1.337386,-1.112736,0.82981,1.123642,-0.736996,0.168703,0.292626,0.020058,-0.42738,0.532109,0.064327,0.025959
16,greySoil,0.63208,0.148811,0.042617,-0.08428,1.242496,0.732156,0.533444,0.343324,1.268514,0.74826,0.549793,0.348336,1.301973,0.854412,0.641278,0.388501,1.326253,0.691066,0.349941,0.178442,0.754923,0.705245,0.361655,0.185177,1.166201,0.816857,0.890006,0.228494,0.671174,0.387548,0.113031,0.230101,0.393417,0.619763,0.363809,0.603258
17,greySoil,1.073066,0.629533,-0.077532,0.021553,0.800057,0.644768,0.173388,0.02655,0.8231,0.485819,0.189143,0.032233,1.081428,0.679357,0.041321,-0.086885,0.809176,0.341798,-0.188412,-0.241825,0.829222,0.180869,-0.176313,-0.444059,0.724391,0.509876,0.047268,-0.192752,0.745289,0.693931,0.053167,0.020058,0.766507,0.532109,0.064327,0.025959
18,redSoil,-0.102897,0.454725,0.703439,0.444886,-0.895959,-0.098028,0.173388,0.02655,-1.403973,-0.257765,-0.532158,-0.178503,-0.09481,0.854412,0.821265,0.494142,-1.185267,0.341798,0.290124,0.283508,-1.399733,-0.168714,0.301881,0.132741,-0.159228,0.860711,0.82981,0.702396,-1.033453,0.343779,0.59195,0.230101,-1.024324,0.181492,0.064327,0.235886
19,redSoil,-0.911371,0.367321,0.102692,0.233219,-0.895959,0.207829,0.353416,0.02655,-0.661615,0.398338,0.369468,0.242968,-0.682928,0.460537,0.161312,0.230039,-0.668189,0.647407,0.708842,0.230975,-0.656748,0.486755,-0.056765,0.027868,-0.674672,0.334459,0.28805,0.123183,-0.959339,0.343779,0.292626,0.12508,-0.949706,0.356801,0.543498,0.130923
20,greySoil,1.367057,1.022851,0.583289,0.233219,1.389975,0.863238,0.593453,0.237733,1.416986,1.229403,0.609902,0.242968,1.228458,0.898176,0.761269,0.124397,1.252385,0.909358,0.529392,0.336042,1.275013,1.142224,0.301881,0.132741,1.31347,0.860711,0.649224,0.175838,1.338203,0.869008,0.352491,0.177591,1.36345,0.882725,0.902877,0.183404
21,greySoil,-0.176394,-0.375613,-1.279026,-1.089695,-0.158561,0.033054,-0.84677,-0.923774,0.674628,0.61704,-0.111399,-0.336555,0.787369,0.635593,-0.07867,-0.192527,1.400122,1.214967,0.708842,0.441108,1.720804,1.22962,0.7203,0.447359,1.092566,0.860711,0.528832,-0.08744,1.412317,1.044084,0.831409,0.282612,1.438068,1.277169,1.382048,0.498294
22,redSoil,-0.690878,-0.200805,-1.038727,-0.930945,-0.674739,0.382605,0.113379,0.02655,-0.141965,1.229403,0.910444,0.611756,-0.682928,0.241718,0.161312,-0.192527,-0.077243,0.996675,0.708842,0.441108,-0.06236,1.22962,0.959397,0.814413,-0.674672,0.685294,0.528832,0.28115,-0.069968,1.262929,1.130733,0.7027,0.169563,1.058033,1.142463,0.708221
23,cottonCrop,0.705578,0.323619,0.342991,-0.190113,0.136399,-0.447579,0.113379,0.39612,-0.438908,-1.132569,0.369468,0.980544,-1.197532,-1.508837,0.881261,1.339272,-1.628476,-2.015759,1.187378,2.279774,-1.845523,-2.266215,1.497365,2.649684,-1.190116,-1.902115,0.950202,1.755511,-1.84871,-2.369901,1.549787,2.750625,-1.621268,-2.141341,1.561738,2.755006
24,greySoil,0.63208,0.367321,0.102692,-0.137197,0.652577,0.382605,-0.126658,-0.34302,0.674628,0.398338,0.129035,-0.336555,0.787369,0.635593,-0.07867,-0.350989,0.809176,0.472773,-0.068778,-0.346891,0.829222,0.486755,0.182332,-0.181877,1.092566,0.685294,0.528832,-0.08744,1.11586,0.693931,0.532085,-0.084964,0.841124,0.532109,0.064327,-0.079004
25,redSoil,-0.102897,1.022851,1.123962,0.709468,-0.37978,1.256483,1.373574,0.712894,-0.364672,1.273143,1.391311,0.875176,-0.168324,1.029468,1.121243,0.705425,-0.151111,1.040333,1.426646,0.703775,-0.136658,1.22962,1.437591,0.70954,-0.232863,0.334459,0.28805,-0.245408,-0.440539,0.562624,0.771544,0.12508,-0.42738,1.145687,1.382048,0.708221
26,dampGreySoil,0.044099,-0.025997,-0.43798,-0.878029,0.062659,-0.01064,-0.666742,-0.659795,0.080742,0.004676,-0.892808,-0.863395,0.419794,0.329246,-0.138666,-0.403809,0.439835,0.210823,-0.367863,-0.557024,-0.136658,-0.081318,-0.774055,-0.968422,0.356217,0.202896,-0.374101,-0.350719,-0.144082,-0.356526,-0.365887,-0.137475,-0.875088,-0.870357,-0.115362,0.393331
27,redSoil,-0.102897,1.19766,1.244111,0.815302,-0.084821,1.212789,0.953509,0.818486,-0.067729,1.229403,0.970552,0.822492,-0.388869,1.248287,1.361226,0.863886,-0.372716,1.258626,1.366829,0.861375,-0.359554,1.273318,1.377816,0.866849,-0.159228,1.211546,1.431766,0.913019,-0.144082,1.044084,1.130733,0.7027,-0.128909,1.058033,1.441945,0.918148
28,dampGreySoil,1.073066,0.848043,0.583289,-0.190113,1.389975,1.038013,0.593453,0.02655,1.416986,1.054442,0.609902,0.242968,1.228458,0.723121,0.521286,0.124397,1.252385,0.909358,0.529392,0.336042,1.275013,1.142224,0.780074,0.342486,1.31347,0.860711,0.348246,0.017871,1.041746,0.869008,0.891274,0.177591,1.36345,1.277169,1.202359,0.393331
29,cottonCrop,-1.940339,-2.385906,1.36426,2.402799,-2.149535,-2.282722,1.373574,2.613541,-1.700916,-1.788672,-0.171507,-0.231187,-2.07971,-2.471642,1.421222,2.448506,-2.071686,-2.452344,1.426646,2.647507,-1.845523,-2.222517,0.839849,1.758267,-1.926465,-2.472222,1.672549,3.387839,-1.922824,-2.45744,1.370192,2.645603,-1.919739,-2.448131,1.082566,2.440116
30,cottonCrop,-1.719846,-2.298502,1.724709,2.773215,-1.707096,-2.282722,2.033676,3.194294,-1.700916,-2.269815,2.413154,3.19327,-1.859166,-2.252823,2.381153,3.082354,-1.850081,-2.146735,2.383717,3.33044,-1.845523,-2.353611,2.095107,3.331356,-1.705561,-2.165241,1.672549,3.229871,-1.922824,-2.238594,2.028705,3.223223,-1.919739,-2.228996,2.340391,3.227341
31,redSoil,-1.205362,-0.200805,-0.618205,-0.348863,-0.895959,-0.185416,-0.366695,-0.131838,-0.884323,0.223378,0.129035,0.032233,-0.903473,-0.283448,-0.558636,-0.350989,-1.185267,-0.269421,-0.547313,-0.346891,-1.176837,-0.25611,-0.295861,-0.181877,-0.674672,0.159041,0.28805,0.123183,-0.662882,-0.006373,0.053167,0.12508,-0.949706,-0.169124,-0.474741,-0.236449
32,redSoil,-0.764376,-0.025997,-0.197682,-0.08428,-0.45352,-0.01064,0.05337,0.132141,-0.438908,0.004676,0.068926,0.1376,-0.756443,-0.458504,-0.378649,-0.403809,-0.446584,-0.094787,-0.367863,0.020842,-0.433852,0.355661,0.122558,0.185177,-0.453767,-0.191794,-0.614884,0.017871,-0.144082,0.212472,0.352491,0.230101,-0.128909,0.400628,0.124223,0.393331
33,cottonCrop,-2.087334,-2.2548,0.583289,1.556134,-1.854576,-2.239028,0.593453,1.557626,-1.552444,-2.007374,0.30936,0.92786,-1.932681,-2.252823,0.041321,1.075169,-2.145554,-2.234051,0.050856,1.281641,-1.919822,-2.353611,0.301881,1.28634,-2.0001,-2.340659,0.348246,1.755511,-1.996938,-2.238594,0.352491,1.385341,-1.994357,-2.316649,0.124223,1.390483
34,redSoil,0.117596,1.022851,1.123962,0.709468,-0.45352,1.038013,0.83349,0.501711,-0.438908,0.70452,0.850335,0.242968,-0.241839,0.898176,1.361226,0.494142,-0.446584,0.909358,1.067744,0.493642,-0.433852,0.748942,0.780074,0.499795,-0.748307,0.509876,0.649224,0.386461,-0.736996,0.343779,0.352491,0.177591,-0.725852,0.225319,0.663291,0.183404
35,redSoil,-0.176394,1.19766,0.883663,0.603635,-0.158561,1.212789,1.193546,0.607303,-0.438908,1.229403,1.511528,0.611756,-0.09481,1.204523,0.941256,0.811066,-0.077243,1.214967,0.94811,0.808841,-0.359554,1.22962,1.557139,1.024158,0.135312,1.036129,1.130788,0.702396,0.152375,1.262929,1.370192,0.7027,-0.054291,1.277169,1.382048,0.865666
36,redSoil,-0.396887,0.97915,1.544484,0.815302,-0.37978,1.212789,1.253555,0.818486,-0.364672,1.229403,1.571636,1.033228,-0.388869,1.029468,1.121243,0.863886,-0.372716,1.040333,1.366829,0.703775,-0.06236,1.054828,1.377816,0.866849,-0.159228,1.036129,1.130788,0.702396,0.152375,1.438005,1.130733,0.912743,0.169563,1.233342,1.441945,1.128074
37,greySoil,0.926071,0.585831,0.102692,-0.137197,1.168756,0.819544,0.653462,0.237733,1.194278,0.835741,0.67001,0.40102,0.787369,0.635593,0.161312,-0.192527,1.104649,0.647407,0.409758,0.020842,1.126416,0.836338,0.421429,0.237614,0.798026,0.509876,0.047268,-0.245408,0.819403,0.343779,-0.186293,-0.45254,0.841124,0.532109,0.064327,-0.079004
38,greySoil,1.073066,0.673235,0.282916,-0.24303,0.800057,0.513687,0.05337,-0.237429,0.8231,0.70452,0.30936,-0.231187,1.081428,0.854412,0.281304,0.018756,1.104649,0.691066,0.050856,-0.189291,0.754923,0.705245,0.301881,-0.181877,1.239836,1.299255,0.769615,0.333806,1.264088,1.131622,0.292626,0.12508,0.99036,0.751244,0.303913,-0.079004
39,redSoil,0.338089,1.372468,1.184036,0.974051,0.062659,1.212789,0.8935,0.39612,-0.438908,0.61704,0.369468,-0.125819,0.19925,1.379579,1.541213,0.811066,0.21823,1.389601,1.247195,0.808841,0.234834,1.01113,0.7203,0.447359,0.798026,1.430818,1.732744,0.860363,0.522946,1.438005,1.370192,0.7027,0.169563,1.277169,1.382048,0.865666
40,dampGreySoil,0.338089,0.367321,-0.618205,-0.348863,0.357618,0.033054,-0.366695,-0.712591,0.080742,0.223378,-0.592266,-0.705343,0.493309,0.066663,-0.558636,-0.562271,0.513703,0.254481,-0.308046,-0.767158,0.234834,0.093474,-0.534958,-0.758677,0.503487,0.159041,-0.193515,-0.666654,0.522946,0.343779,-0.186293,-0.662584,0.542653,0.006184,-0.175259,-0.656302
41,cottonCrop,-0.249892,-0.200805,-0.918578,-1.036778,-0.2323,-0.185416,-0.666742,-0.870978,0.080742,-0.170284,-0.652375,-0.863395,-0.462384,-0.283448,-0.798618,-0.562271,-0.446584,-0.444054,-0.128595,0.020842,-0.731046,-0.998975,0.660526,0.814413,-1.190116,-1.507425,0.649224,1.334265,-1.626367,-1.888442,1.190598,2.067983,-1.994357,-2.00986,1.202359,2.440116
42,redSoil,-0.396887,0.629533,0.703439,0.444886,-0.674739,0.819544,0.713472,0.448916,-0.884323,0.835741,0.970552,0.611756,-0.682928,0.504301,0.521286,0.282859,-0.668189,0.516432,0.828476,0.493642,-1.176837,0.530453,0.540978,0.29005,-1.042846,0.159041,0.28805,0.228494,-1.32991,0.168703,0.053167,0.230101,-1.322796,0.006184,0.303913,0.025959
43,redSoil,-0.176394,1.19766,1.123962,0.921135,-0.158561,1.212789,1.433583,0.924077,-0.141965,1.229403,1.150877,0.717124,-0.241839,1.116996,1.361226,0.916707,-0.22498,1.12765,1.067744,0.703775,-0.210957,1.317016,1.078945,0.70954,-0.159228,1.079983,1.190984,0.597084,-0.440539,0.869008,1.190598,0.597678,-0.128909,0.882725,0.902877,0.603258
44,greySoil,0.779075,0.454725,-0.077532,-0.190113,1.095016,0.644768,0.173388,0.02655,1.120043,0.66078,0.189143,-0.178503,1.081428,0.504301,0.041321,-0.086885,1.400122,0.691066,0.290124,-0.084225,0.829222,0.530453,0.301881,-0.077004,0.724391,0.509876,0.047268,-0.192752,1.11586,0.518855,-0.186293,-0.189986,1.139596,0.707417,0.303913,0.025959
45,greySoil,0.705578,0.673235,-0.197682,-0.190113,0.726317,0.338911,-0.186668,-0.184633,1.120043,0.529559,0.068926,-0.178503,1.228458,0.548065,0.281304,-0.086885,0.956912,0.56009,0.050856,-0.241825,0.977819,0.574151,0.062784,-0.077004,1.018931,0.509876,0.107463,-0.192752,0.745289,0.518855,0.113031,-0.189986,1.064978,0.532109,0.124223,-0.183967
46,redSoil,0.044099,1.503574,1.664634,0.921135,0.062659,1.300177,1.67362,0.924077,0.080742,1.316883,1.391311,0.92786,0.125735,1.248287,1.481217,0.969528,-0.151111,1.258626,1.486463,0.966441,-0.136658,1.273318,1.497365,0.814413,-0.159228,1.606236,1.491962,0.755051,0.07826,1.394236,1.789246,0.965254,0.094945,1.233342,1.202359,0.970629
47,redSoil,-0.690878,0.061407,0.162766,0.233219,-0.674739,0.076748,0.173388,0.237733,-0.364672,0.66078,0.730119,0.453704,-0.976988,-0.020865,-0.198662,0.124397,-0.668189,0.341798,0.050856,0.125908,-0.656748,0.705245,0.540978,0.499795,-0.453767,0.159041,0.047268,0.228494,-0.440539,0.518855,0.292626,0.492656,-0.42738,0.707417,0.842981,0.498294
48,greySoil,0.779075,0.804341,0.703439,0.233219,0.800057,0.994319,0.953509,0.607303,1.120043,1.229403,0.970552,0.611756,0.787369,0.854412,0.821265,0.282859,1.104649,0.8657,0.828476,0.283508,1.126416,0.880036,0.839849,0.499795,1.387105,1.036129,0.82981,0.491773,1.412317,1.044084,0.831409,0.492656,1.438068,1.058033,1.142463,0.708221
49,redSoil,1.073066,1.022851,0.823588,0.709468,1.095016,1.038013,1.373574,0.712894,-0.067729,0.879481,0.850335,0.506388,1.375487,0.854412,1.121243,0.916707,0.735308,1.040333,1.426646,0.913908,-0.136658,0.880036,0.839849,0.70954,1.90255,1.123838,1.070593,0.702396,1.264088,0.912777,1.070868,0.912743,0.393417,0.926552,1.382048,0.708221
50,greySoil,0.485085,0.804341,0.403065,0.233219,0.800057,0.644768,0.413425,-0.184633,0.526157,0.485819,0.189143,-0.336555,0.787369,1.248287,1.121243,0.282859,0.809176,1.040333,0.828476,0.125908,0.829222,0.530453,0.062784,-0.234313,0.724391,0.860711,0.28805,0.017871,0.745289,0.869008,0.292626,-0.189986,0.766507,0.532109,0.064327,-0.183967
51,greySoil,1.661048,0.848043,0.643364,0.180303,1.316235,0.863238,0.653462,0.02655,1.34275,0.70452,0.369468,0.190284,1.154943,0.591829,0.641278,0.018756,1.178517,0.822041,0.349941,-0.136758,1.200714,0.836338,0.361655,0.027868,0.798026,0.466022,-0.073123,-0.192752,1.11586,0.650162,0.172896,0.020058,1.139596,0.66359,0.18412,-0.183967
52,redSoil,-0.470385,0.97915,0.883663,0.603635,-0.45352,0.819544,0.8935,0.39612,-0.438908,0.835741,1.210986,0.611756,-0.388869,0.985704,1.241235,0.599783,-0.372716,0.822041,0.94811,0.598708,-0.359554,0.836338,0.959397,0.604668,-0.380132,0.860711,1.130788,0.491773,-0.366425,1.044084,0.831409,0.7027,-0.352763,1.058033,1.382048,0.498294
53,dampGreySoil,1.073066,0.673235,0.282916,-0.08428,1.095016,0.513687,0.05337,-0.237429,0.8231,0.354598,-0.171507,-0.441923,1.081428,0.504301,0.041321,-0.192527,0.735308,0.516432,-0.367863,-0.399425,0.754923,0.355661,-0.176313,-0.391622,1.239836,0.729148,0.047268,-0.08744,0.967631,0.562624,-0.186293,-0.242497,0.691889,0.356801,-0.175259,-0.446376
54,cottonCrop,-1.866841,-2.298502,0.883663,2.085299,-1.633357,-2.151641,0.8935,2.296766,-1.62668,-2.007374,0.910444,2.086907,-1.638621,-2.296587,1.541213,2.395685,-1.628476,-2.27771,1.247195,2.174707,-1.622628,-2.135121,0.959397,1.968012,-1.926465,-2.384513,2.033722,2.75597,-1.700481,-2.282363,1.370192,2.225516,-1.397414,-2.141341,0.842981,1.652891
55,dampGreySoil,0.338089,0.148811,-0.197682,-0.454696,0.357618,0.164136,-0.666742,-0.448612,0.674628,0.179637,-0.171507,-0.652659,0.419794,0.329246,-0.138666,-0.562271,0.439835,0.210823,-0.547313,-0.557024,0.754923,0.224567,-0.355636,-0.758677,0.945296,0.202896,-0.133319,-0.719309,0.374717,0.212472,-0.365887,-0.505051,0.393417,0.050011,-0.115362,-0.708784
56,redSoil,0.411587,1.066554,1.48441,0.815302,0.136399,0.688462,0.653462,0.607303,-0.141965,-0.257765,-0.111399,-0.178503,0.05222,0.985704,0.881261,0.599783,-0.151111,0.603749,0.888293,0.388575,-0.136658,0.049776,0.122558,0.237614,0.503487,1.211546,0.950202,0.597084,0.522946,1.000315,0.951139,0.597678,0.542653,0.838898,0.723188,0.813184
